Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
She Make It Clap,She Make It Clap,Soulja Boy,3/12/2021,TCAFL2178806,"4,452",19.8,"87,813,373","35,497","4,333,964",51.0,"22,158,547","645,841","1,908,028","389,171,513","3,050,656,195","1,075,513",15.0,"11,520",147,1.0,458,3.0,"11,767,557","7,464","3,340,704","571,513",,1
Fancy Like,Country Stuff,Walker Hayes,6/4/2021,USQX92101534,835,53.1,"328,697,441","56,746","6,878,594",66.0,"174,775,864","1,192,058","796,309","174,360,135","2,074,178,281","774,476,433",53.0,"289,947","1,089",,,45.0,"242,860,151","274,465",,"2,520,013",,0
Chupï¿½,Chupï¿½,El Gudi,8/25/2023,PYC842302802,"1,597",36.7,"126,216,271","8,260","5,602,330",61.0,"144,392,606","1,240,106","381,384","195,604,072","2,031,974,901","360,142,040",4.0,673,,5.0,"4,851,209",4.0,,,,"233,859",,0
Sacrifice,The Highlights (Deluxe),The Weeknd,2/5/2021,USUG12106685,"3,240",24.2,"387,273,112","61,978","16,015,269",65.0,"103,938,760","1,316,097","21,110","10,221,959","179,105,827","2,664,563,656",59.0,"201,646",708,42.0,"2,095,389",39.0,"8,539,058","2,764",,"1,926,829",,1
OKLOSER,OKLOSER,Doja Cat,4/1/2024,USRC12400591,"4,362",20.1,"20,814,043","1,756","13,481,516",,,,,"401,100","1,470,700",,15.0,"20,773",75,17.0,"502,431",23.0,"133,333",287,,"71,723",,1
Lover,Lover,Taylor Swift,8/16/2019,USUG11901473,"1,507",37.8,"1,413,268,808","104,435","94,697,921",81.0,"492,503,095","6,305,357","400,078","142,555,742","921,980,357","445,323,991",201.0,"74,209",33,54.0,"1,301,097",91.0,"63,095,932","101,424",,"4,309,604",,0
I Hate U,I Hate U - Single,SZA,12/3/2021,USRC12103605,956,49.2,"456,871,037","71,261","34,724,014",66.0,"142,820,854","1,393,679","877,769","211,488,170","1,676,387,442","85,726,782",105.0,"136,784","1,324",29.0,"699,151",19.0,"92,133,806","29,242","15,212,609","1,854,776",,1
Love Is Gone - Acoustic,Love Is Gone (Acoustic),SLANDER,11/13/2019,CA5KR1969481,"3,993",21.3,"486,647,778","83,294","21,025,597",71.0,"239,866,189","2,910,072","78,646","21,105,667","147,581,751","245,093",6.0,"2,226",,1.0,380,,"15,700,689","21,904",,"3,817,868",,0
LET GO,LET GO,Central Cee,12/15/2022,US39N2203950,526,66.9,"415,699,405","131,562","25,729,246",70.0,"120,716,253","1,505,981","71,800","43,271,885","459,919,455","39,958,162",37.0,"59,291",271,24.0,"581,393",41.0,"3,691,271","1,120",,"1,781,022",,1
Havana (feat. Young Thug),Havana,Camila Cabello,8/3/2017,USSM11706905,177,112.8,"2,072,182,782","194,332","86,159,672",75.0,"3,952,909,529","32,333,846","1,314,091","53,911,465","546,650,805","2,137,655,536",342.0,"175,317",563,541.0,"1,593,590",95.0,"455,553,499","772,600",,"16,095,913",,0
Victoriaï¿½ï¿½ï¿½s ,Victoriaï¿½ï¿½ï¿½s ,Jax,6/30/2022,USAT22208037,"1,616",36.5,"161,267,092","28,607","7,345,512",62.0,"60,783,794","1,205,587","269,447","80,682,415","667,522,423","2,425,897,442",9.0,"234,760","1,543",2.0,"64,490",27.0,"71,491,331","56,598","1,800,837",,,1
Reggaeton Champagne,Kittyponeo,Bellakath,10/5/2023,BK4DA2319233,421,75.1,"224,429,894","17,159","11,316,048",,"250,897,173","2,121,068","545,900","64,561,650","456,323,777","911,150,246",8.0,"1,966",499,13.0,"597,691",28.0,"708,120","3,499",,"921,762",,1
